TRC 2024-02-10 03:17:35.128+00:00 Reading bytes from frame stream            topics="libp2p wstransport" tid=1 file=session.nim:408 len=28 consumed=21 first=true remainder=7 fin=true opcode=Binary masked=true
TRC 2024-02-10 03:17:35.128+00:00 Read data from frame                       topics="libp2p wstransport" tid=1 file=session.nim:418 read=7 consumed=28 len=28 first=true remainder=0 fin=true opcode=Binary masked=true
TRC 2024-02-10 03:17:35.128+00:00 Read all frames, breaking                  topics="libp2p wstransport" tid=1 file=session.nim:427 consumed=28 len=28 first=false remainder=0 fin=true opcode=Binary masked=true
TRC 2024-02-10 03:17:35.128+00:00 handle: got request                        topics="libp2p multistream" tid=1 file=multistream.nim:146 conn=:65c6eacf7df3c2ee8809a97b ms=/noise
TRC 2024-02-10 03:17:35.128+00:00 found handler                              topics="libp2p multistream" tid=1 file=multistream.nim:167 conn=:65c6eacf7df3c2ee8809a97b protocol=/noise
TRC 2024-02-10 03:17:35.128+00:00 Sending data to remote                     topics="websock ws-session" tid=1 file=session.nim:115 opcode=Binary masked=false dataSize=8
TRC 2024-02-10 03:17:35.128+00:00 Securing connection                        topics="libp2p upgrade" tid=1 file=upgrade.nim:59 conn=:65c6eacf7df3c2ee8809a97b codec=/noise
TRC 2024-02-10 03:17:35.128+00:00 Starting Noise handshake                   topics="libp2p noise" tid=1 file=noise.nim:505 conn=:65c6eacf7df3c2ee8809a97b initiator=false
TRC 2024-02-10 03:17:35.128+00:00 mixHash                                    topics="libp2p noise" tid=1 file=noise.nim:197 hash=f3d15e6108ed...2e0958dc002d
TRC 2024-02-10 03:17:35.128+00:00 Reading new frame                          topics="websock ws-session" tid=1 file=frame.nim:163
TRC 2024-02-10 03:17:35.133+00:00 running heartbeat                          topics="libp2p gossipsub" tid=1 file=behavior.nim:702 instance=140364267618384
TRC 2024-02-10 03:17:35.133+00:00 rebalancing mesh                           topics="libp2p gossipsub" tid=1 file=behavior.nim:318 mesh=0 gossipsub=0 topic=/waku/2/default-waku/proto
TRC 2024-02-10 03:17:35.133+00:00 replenishing mesh                          topics="libp2p gossipsub" tid=1 file=behavior.nim:330 peers=0 mesh=0 gossipsub=0 topic=/waku/2/default-waku/proto
TRC 2024-02-10 03:17:35.133+00:00 grafting                                   topics="libp2p gossipsub" tid=1 file=behavior.nim:359 grafting=0 mesh=0 gossipsub=0 topic=/waku/2/default-waku/proto
TRC 2024-02-10 03:17:35.133+00:00 mesh balanced                              topics="libp2p gossipsub" tid=1 file=behavior.nim:528 mesh=0 gossipsub=0 topic=/waku/2/default-waku/proto
TRC 2024-02-10 03:17:35.133+00:00 getting gossip peers (iHave)               topics="libp2p gossipsub" tid=1 file=behavior.nim:579 ntopics=0
TRC 2024-02-10 03:17:35.170+00:00 Decoded new frame                          topics="websock ws-session" tid=1 file=session.nim:336 len=34 fin=true mask=true opcode=Binary
TRC 2024-02-10 03:17:35.170+00:00 Setting binary flag                        topics="libp2p wstransport" tid=1 file=session.nim:404 consumed=0 len=34 first=true remainder=34 fin=true opcode=Binary masked=true
TRC 2024-02-10 03:17:35.170+00:00 Reading bytes from frame stream            topics="libp2p wstransport" tid=1 file=session.nim:408 len=34 consumed=0 first=true remainder=34 fin=true opcode=Binary masked=true
TRC 2024-02-10 03:17:35.170+00:00 Read data from frame                       topics="libp2p wstransport" tid=1 file=session.nim:418 read=2 consumed=2 len=34 first=true remainder=32 fin=true opcode=Binary masked=true
TRC 2024-02-10 03:17:35.170+00:00 readFrame                                  topics="libp2p noise" tid=1 file=noise.nim:308 sconn=:65c6eacf7df3c2ee8809a97b size=32
TRC 2024-02-10 03:17:35.170+00:00 Setting binary flag                        topics="libp2p wstransport" tid=1 file=session.nim:404 consumed=2 len=34 first=true remainder=32 fin=true opcode=Binary masked=true
TRC 2024-02-10 03:17:35.170+00:00 Reading bytes from frame stream            topics="libp2p wstransport" tid=1 file=session.nim:408 len=34 consumed=2 first=true remainder=32 fin=true opcode=Binary masked=true
TRC 2024-02-10 03:17:35.170+00:00 Read data from frame                       topics="libp2p wstransport" tid=1 file=session.nim:418 read=32 consumed=34 len=34 first=true remainder=0 fin=true opcode=Binary masked=true
TRC 2024-02-10 03:17:35.170+00:00 Read all frames, breaking                  topics="libp2p wstransport" tid=1 file=session.nim:427 consumed=34 len=34 first=false remainder=0 fin=true opcode=Binary masked=true
TRC 2024-02-10 03:17:35.170+00:00 noise read e                               topics="libp2p noise" tid=1 file=noise.nim:275 size=32
TRC 2024-02-10 03:17:35.170+00:00 mixHash                                    topics="libp2p noise" tid=1 file=noise.nim:197 hash=caac87a8f638...92bc8aef361e
TRC 2024-02-10 03:17:35.170+00:00 mixHash                                    topics="libp2p noise" tid=1 file=noise.nim:197 hash=0d235df7f9ba...2ba531a247ca
